ts,dorm,members,power_w
2026-01-18T01:20:00,Parkside - 5E,5,273.2
2026-01-18T01:20:00,Florence Apt - 2B,2,258.0
2026-01-18T01:20:00,McCarthy Way - 4A,4,215.1
2026-01-18T01:20:00,Gateway - 3A,3,249.6
2026-01-18T01:20:00,Bunker Hill - 1A,1,264.6
2026-01-18T01:20:00,Expo House - 2C,2,256.9
2026-01-18T01:25:00,Trojans Hall - 4B,4,255.0
2026-01-18T01:25:00,Cardinal House - 2A,2,238.7
2026-01-18T01:25:00,Heritage Hall - 3C,3,220.7
2026-01-18T01:25:00,Sunset Dorm - 1D,1,257.3
2026-01-18T01:25:00,Village East - 6F,6,290.0
2026-01-18T01:25:00,Apt Solo - Studio,1,174.0
2026-01-18T01:25:00,Parkside - 5E,5,292.3
2026-01-18T01:25:00,Florence Apt - 2B,2,233.8
2026-01-18T01:25:00,McCarthy Way - 4A,4,234.1
2026-01-18T01:25:00,Gateway - 3A,3,266.8
2026-01-18T01:25:00,Bunker Hill - 1A,1,253.5
2026-01-18T01:25:00,Expo House - 2C,2,220.2
2026-01-18T01:30:00,Trojans Hall - 4B,4,217.6
2026-01-18T01:30:00,Cardinal House - 2A,2,219.1
2026-01-18T01:30:00,Heritage Hall - 3C,3,264.3
2026-01-18T01:30:00,Sunset Dorm - 1D,1,258.4
2026-01-18T01:30:00,Village East - 6F,6,278.8
2026-01-18T01:30:00,Apt Solo - Studio,1,175.6
2026-01-18T01:30:00,Parkside - 5E,5,292.8
2026-01-18T01:30:00,Florence Apt - 2B,2,249.4
2026-01-18T01:30:00,McCarthy Way - 4A,4,231.0
2026-01-18T01:30:00,Gateway - 3A,3,242.9
2026-01-18T01:30:00,Bunker Hill - 1A,1,217.9
2026-01-18T01:30:00,Expo House - 2C,2,210.9
2026-01-18T01:35:00,Trojans Hall - 4B,4,268.3
2026-01-18T01:35:00,Cardinal House - 2A,2,249.0
2026-01-18T01:35:00,Heritage Hall - 3C,3,241.6
2026-01-18T01:35:00,Sunset Dorm - 1D,1,266.0
2026-01-18T01:35:00,Village East - 6F,6,296.0
2026-01-18T01:35:00,Apt Solo - Studio,1,178.3
2026-01-18T01:35:00,Parkside - 5E,5,283.6
2026-01-18T01:35:00,Florence Apt - 2B,2,222.7
2026-01-18T01:35:00,McCarthy Way - 4A,4,225.1
2026-01-18T01:35:00,Gateway - 3A,3,227.6
2026-01-18T01:35:00,Bunker Hill - 1A,1,224.4
2026-01-18T01:35:00,Expo House - 2C,2,245.2
2026-01-18T01:40:00,Trojans Hall - 4B,4,225.6
2026-01-18T01:40:00,Cardinal House - 2A,2,235.1
2026-01-18T01:40:00,Heritage Hall - 3C,3,217.9
2026-01-18T01:40:00,Sunset Dorm - 1D,1,264.6
2026-01-18T01:40:00,Village East - 6F,6,291.2
2026-01-18T01:40:00,Apt Solo - Studio,1,153.5
2026-01-18T01:40:00,Parkside - 5E,5,269.0
2026-01-18T01:40:00,Florence Apt - 2B,2,264.3
2026-01-18T01:40:00,McCarthy Way - 4A,4,235.2
2026-01-18T01:40:00,Gateway - 3A,3,265.1
2026-01-18T01:40:00,Bunker Hill - 1A,1,240.1
2026-01-18T01:40:00,Expo House - 2C,2,241.9
2026-01-18T01:45:00,Trojans Hall - 4B,4,241.4
2026-01-18T01:45:00,Cardinal House - 2A,2,211.1
2026-01-18T01:45:00,Heritage Hall - 3C,3,236.4
2026-01-18T01:45:00,Sunset Dorm - 1D,1,221.0
2026-01-18T01:45:00,Village East - 6F,6,270.2
2026-01-18T01:45:00,Apt Solo - Studio,1,174.0
2026-01-18T01:45:00,Parkside - 5E,5,244.3
2026-01-18T01:45:00,Florence Apt - 2B,2,238.4
2026-01-18T01:45:00,McCarthy Way - 4A,4,253.5
2026-01-18T01:45:00,Gateway - 3A,3,243.4
2026-01-18T01:45:00,Bunker Hill - 1A,1,229.6
2026-01-18T01:45:00,Expo House - 2C,2,241.1
2026-01-18T01:50:00,Trojans Hall - 4B,4,243.3
2026-01-18T01:50:00,Cardinal House - 2A,2,257.1
2026-01-18T01:50:00,Heritage Hall - 3C,3,216.4
2026-01-18T01:50:00,Sunset Dorm - 1D,1,243.6
2026-01-18T01:50:00,Village East - 6F,6,284.9
2026-01-18T01:50:00,Apt Solo - Studio,1,142.6
2026-01-18T01:50:00,Parkside - 5E,5,280.3
2026-01-18T01:50:00,Florence Apt - 2B,2,240.5
2026-01-18T01:50:00,McCarthy Way - 4A,4,243.7
2026-01-18T01:50:00,Gateway - 3A,3,255.6
2026-01-18T01:50:00,Bunker Hill - 1A,1,264.7
2026-01-18T01:50:00,Expo House - 2C,2,236.6
2026-01-18T01:55:00,Trojans Hall - 4B,4,246.8
2026-01-18T01:55:00,Cardinal House - 2A,2,240.3
2026-01-18T01:55:00,Heritage Hall - 3C,3,240.7
2026-01-18T01:55:00,Sunset Dorm - 1D,1,251.6
2026-01-18T01:55:00,Village East - 6F,6,297.1
2026-01-18T01:55:00,Apt Solo - Studio,1,158.0
2026-01-18T01:55:00,Parkside - 5E,5,262.7
2026-01-18T01:55:00,Florence Apt - 2B,2,266.5
2026-01-18T01:55:00,McCarthy Way - 4A,4,252.0
2026-01-18T01:55:00,Gateway - 3A,3,262.6
2026-01-18T01:55:00,Bunker Hill - 1A,1,266.5
2026-01-18T01:55:00,Expo House - 2C,2,225.6
2026-01-18T02:00:00,Trojans Hall - 4B,4,243.6
2026-01-18T02:00:00,Cardinal House - 2A,2,266.6
2026-01-18T02:00:00,Heritage Hall - 3C,3,260.4
2026-01-18T02:00:00,Sunset Dorm - 1D,1,218.2
2026-01-18T02:00:00,Village East - 6F,6,277.3
2026-01-18T02:00:00,Apt Solo - Studio,1,152.5
2026-01-18T02:00:00,Parkside - 5E,5,238.4
2026-01-18T02:00:00,Florence Apt - 2B,2,224.4
2026-01-18T02:00:00,McCarthy Way - 4A,4,214.4
2026-01-18T02:00:00,Gateway - 3A,3,250.2
2026-01-18T02:00:00,Bunker Hill - 1A,1,257.0
2026-01-18T02:00:00,Expo House - 2C,2,263.8
2026-01-18T02:05:00,Trojans Hall - 4B,4,219.3
2026-01-18T02:05:00,Cardinal House - 2A,2,253.0
2026-01-18T02:05:00,Heritage Hall - 3C,3,249.6
2026-01-18T02:05:00,Sunset Dorm - 1D,1,218.6
2026-01-18T02:05:00,Village East - 6F,6,323.0
2026-01-18T02:05:00,Apt Solo - Studio,1,184.1
2026-01-18T02:05:00,Parkside - 5E,5,247.2
2026-01-18T02:05:00,Florence Apt - 2B,2,267.2
2026-01-18T02:05:00,McCarthy Way - 4A,4,233.9
2026-01-18T02:05:00,Gateway - 3A,3,239.2
2026-01-18T02:05:00,Bunker Hill - 1A,1,269.4
2026-01-18T02:05:00,Expo House - 2C,2,259.9
2026-01-18T02:10:00,Trojans Hall - 4B,4,219.7
2026-01-18T02:10:00,Cardinal House - 2A,2,235.9
2026-01-18T02:10:00,Heritage Hall - 3C,3,240.9
2026-01-18T02:10:00,Sunset Dorm - 1D,1,230.3
2026-01-18T02:10:00,Village East - 6F,6,281.7
2026-01-18T02:10:00,Apt Solo - Studio,1,145.1
2026-01-18T02:10:00,Parkside - 5E,5,277.3
2026-01-18T02:10:00,Florence Apt - 2B,2,211.2
2026-01-18T02:10:00,McCarthy Way - 4A,4,243.2
2026-01-18T02:10:00,Gateway - 3A,3,236.4
2026-01-18T02:10:00,Bunker Hill - 1A,1,211.1
2026-01-18T02:10:00,Expo House - 2C,2,229.9
2026-01-18T02:15:00,Trojans Hall - 4B,4,247.4
2026-01-18T02:15:00,Cardinal House - 2A,2,240.7
2026-01-18T02:15:00,Heritage Hall - 3C,3,213.9
2026-01-18T02:15:00,Sunset Dorm - 1D,1,269.1
2026-01-18T02:15:00,Village East - 6F,6,317.3
2026-01-18T02:15:00,Apt Solo - Studio,1,184.3
2026-01-18T02:15:00,Parkside - 5E,5,240.3
2026-01-18T02:15:00,Florence Apt - 2B,2,225.9
2026-01-18T02:15:00,McCarthy Way - 4A,4,212.4
2026-01-18T02:15:00,Gateway - 3A,3,256.7
2026-01-18T02:15:00,Bunker Hill - 1A,1,226.2
2026-01-18T02:15:00,Expo House - 2C,2,217.8
2026-01-18T02:20:00,Trojans Hall - 4B,4,235.3
2026-01-18T02:20:00,Cardinal House - 2A,2,264.7
2026-01-18T02:20:00,Heritage Hall - 3C,3,259.1
2026-01-18T02:20:00,Sunset Dorm - 1D,1,225.5
2026-01-18T02:20:00,Village East - 6F,6,279.0
2026-01-18T02:20:00,Apt Solo - Studio,1,181.2
2026-01-18T02:20:00,Parkside - 5E,5,268.2
2026-01-18T02:20:00,Florence Apt - 2B,2,252.0
2026-01-18T02:20:00,McCarthy Way - 4A,4,215.4
2026-01-18T02:20:00,Gateway - 3A,3,213.5
2026-01-18T02:20:00,Bunker Hill - 1A,1,251.3
2026-01-18T02:20:00,Expo House - 2C,2,235.5
2026-01-18T02:25:00,Trojans Hall - 4B,4,214.3
2026-01-18T02:25:00,Cardinal House - 2A,2,266.3
2026-01-18T02:25:00,Heritage Hall - 3C,3,248.1
2026-01-18T02:25:00,Sunset Dorm - 1D,1,258.1
2026-01-18T02:25:00,Village East - 6F,6,275.0
2026-01-18T02:25:00,Apt Solo - Studio,1,177.4
2026-01-18T02:25:00,Parkside - 5E,5,238.0
2026-01-18T02:25:00,Florence Apt - 2B,2,261.8
2026-01-18T02:25:00,McCarthy Way - 4A,4,237.2
2026-01-18T02:25:00,Gateway - 3A,3,230.3
2026-01-18T02:25:00,Bunker Hill - 1A,1,243.2
2026-01-18T02:25:00,Expo House - 2C,2,265.6
2026-01-18T02:30:00,Trojans Hall - 4B,4,226.1
2026-01-18T02:30:00,Cardinal House - 2A,2,217.8
2026-01-18T02:30:00,Heritage Hall - 3C,3,241.6
2026-01-18T02:30:00,Sunset Dorm - 1D,1,224.3
2026-01-18T02:30:00,Village East - 6F,6,276.6
2026-01-18T02:30:00,Apt Solo - Studio,1,135.7
2026-01-18T02:30:00,Parkside - 5E,5,237.0
2026-01-18T02:30:00,Florence Apt - 2B,2,222.1
2026-01-18T02:30:00,McCarthy Way - 4A,4,228.7
2026-01-18T02:30:00,Gateway - 3A,3,228.3
2026-01-18T02:30:00,Bunker Hill - 1A,1,255.6
2026-01-18T02:30:00,Expo House - 2C,2,227.4
2026-01-18T02:35:00,Trojans Hall - 4B,4,240.0
2026-01-18T02:35:00,Cardinal House - 2A,2,220.7
2026-01-18T02:35:00,Heritage Hall - 3C,3,230.8
2026-01-18T02:35:00,Sunset Dorm - 1D,1,211.1
2026-01-18T02:35:00,Village East - 6F,6,285.0
2026-01-18T02:35:00,Apt Solo - Studio,1,126.9
2026-01-18T02:35:00,Parkside - 5E,5,278.0
2026-01-18T02:35:00,Florence Apt - 2B,2,243.1
2026-01-18T02:35:00,McCarthy Way - 4A,4,221.4
2026-01-18T02:35:00,Gateway - 3A,3,238.5
2026-01-18T02:35:00,Bunker Hill - 1A,1,266.1
2026-01-18T02:35:00,Expo House - 2C,2,216.4
2026-01-18T02:40:00,Trojans Hall - 4B,4,259.1
2026-01-18T02:40:00,Cardinal House - 2A,2,235.9
2026-01-18T02:40:00,Heritage Hall - 3C,3,239.7
2026-01-18T02:40:00,Sunset Dorm - 1D,1,260.1
2026-01-18T02:40:00,Village East - 6F,6,293.6
2026-01-18T02:40:00,Apt Solo - Studio,1,156.4
2026-01-18T02:40:00,Parkside - 5E,5,275.3
2026-01-18T02:40:00,Florence Apt - 2B,2,268.9
2026-01-18T02:40:00,McCarthy Way - 4A,4,230.6
2026-01-18T02:40:00,Gateway - 3A,3,259.9
2026-01-18T02:40:00,Bunker Hill - 1A,1,252.4
2026-01-18T02:40:00,Expo House - 2C,2,248.2
2026-01-18T02:45:00,Trojans Hall - 4B,4,234.3
2026-01-18T02:45:00,Cardinal House - 2A,2,230.9
2026-01-18T02:45:00,Heritage Hall - 3C,3,213.3
2026-01-18T02:45:00,Sunset Dorm - 1D,1,217.8
2026-01-18T02:45:00,Village East - 6F,6,274.2
2026-01-18T02:45:00,Apt Solo - Studio,1,170.5
2026-01-18T02:45:00,Parkside - 5E,5,249.3
2026-01-18T02:45:00,Florence Apt - 2B,2,219.8
2026-01-18T02:45:00,McCarthy Way - 4A,4,215.1
2026-01-18T02:45:00,Gateway - 3A,3,260.5
2026-01-18T02:45:00,Bunker Hill - 1A,1,262.2
2026-01-18T02:45:00,Expo House - 2C,2,250.2
2026-01-18T02:50:00,Trojans Hall - 4B,4,226.9
2026-01-18T02:50:00,Cardinal House - 2A,2,224.5
2026-01-18T02:50:00,Heritage Hall - 3C,3,227.6
2026-01-18T02:50:00,Sunset Dorm - 1D,1,237.6
2026-01-18T02:50:00,Village East - 6F,6,279.5
2026-01-18T02:50:00,Apt Solo - Studio,1,152.7
2026-01-18T02:50:00,Parkside - 5E,5,249.8
2026-01-18T02:50:00,Florence Apt - 2B,2,267.7
2026-01-18T02:50:00,McCarthy Way - 4A,4,268.4
2026-01-18T02:50:00,Gateway - 3A,3,242.8
2026-01-18T02:50:00,Bunker Hill - 1A,1,224.7
2026-01-18T02:50:00,Expo House - 2C,2,267.9
2026-01-18T02:55:00,Trojans Hall - 4B,4,228.6
2026-01-18T02:55:00,Cardinal House - 2A,2,231.4
2026-01-18T02:55:00,Heritage Hall - 3C,3,210.1
2026-01-18T02:55:00,Sunset Dorm - 1D,1,232.9
2026-01-18T02:55:00,Village East - 6F,6,298.5
2026-01-18T02:55:00,Apt Solo - Studio,1,156.2
2026-01-18T02:55:00,Parkside - 5E,5,246.1
2026-01-18T02:55:00,Florence Apt - 2B,2,240.3
2026-01-18T02:55:00,McCarthy Way - 4A,4,210.3
2026-01-18T02:55:00,Gateway - 3A,3,225.9
2026-01-18T02:55:00,Bunker Hill - 1A,1,215.4
2026-01-18T02:55:00,Expo House - 2C,2,234.0
2026-01-18T03:00:00,Trojans Hall - 4B,4,212.5
2026-01-18T03:00:00,Cardinal House - 2A,2,211.3
2026-01-18T03:00:00,Heritage Hall - 3C,3,228.3
2026-01-18T03:00:00,Sunset Dorm - 1D,1,224.0
2026-01-18T03:00:00,Village East - 6F,6,305.1
2026-01-18T03:00:00,Apt Solo - Studio,1,157.8
2026-01-18T03:00:00,Parkside - 5E,5,279.0
2026-01-18T03:00:00,Florence Apt - 2B,2,249.5
2026-01-18T03:00:00,McCarthy Way - 4A,4,253.0
2026-01-18T03:00:00,Gateway - 3A,3,262.7
2026-01-18T03:00:00,Bunker Hill - 1A,1,233.4
2026-01-18T03:00:00,Expo House - 2C,2,229.6
2026-01-18T03:05:00,Trojans Hall - 4B,4,269.1
2026-01-18T03:05:00,Cardinal House - 2A,2,219.0
2026-01-18T03:05:00,Heritage Hall - 3C,3,253.4
2026-01-18T03:05:00,Sunset Dorm - 1D,1,248.6
2026-01-18T03:05:00,Village East - 6F,6,272.6
2026-01-18T03:05:00,Apt Solo - Studio,1,176.1
2026-01-18T03:05:00,Parkside - 5E,5,287.5
2026-01-18T03:05:00,Florence Apt - 2B,2,247.6
2026-01-18T03:05:00,McCarthy Way - 4A,4,254.0
2026-01-18T03:05:00,Gateway - 3A,3,258.7
2026-01-18T03:05:00,Bunker Hill - 1A,1,218.4
2026-01-18T03:05:00,Expo House - 2C,2,241.4
2026-01-18T03:10:00,Trojans Hall - 4B,4,240.3
2026-01-18T03:10:00,Cardinal House - 2A,2,260.1
2026-01-18T03:10:00,Heritage Hall - 3C,3,258.3
2026-01-18T03:10:00,Sunset Dorm - 1D,1,259.6
2026-01-18T03:10:00,Village East - 6F,6,305.0
2026-01-18T03:10:00,Apt Solo - Studio,1,179.6
2026-01-18T03:10:00,Parkside - 5E,5,275.0
2026-01-18T03:10:00,Florence Apt - 2B,2,251.6
2026-01-18T03:10:00,McCarthy Way - 4A,4,223.8
2026-01-18T03:10:00,Gateway - 3A,3,211.9
2026-01-18T03:10:00,Bunker Hill - 1A,1,218.0
2026-01-18T03:10:00,Expo House - 2C,2,231.6
2026-01-18T03:15:00,Trojans Hall - 4B,4,216.3
