ts,home,device,power_w
2026-01-17T03:20:00,SunChasers,idle,203.5
2026-01-17T03:20:00,VoltRiders,idle,203.6
2026-01-17T03:25:00,Alex,idle,236.4
2026-01-17T03:25:00,Dorm A - Floor 3,hvac,275.7
2026-01-17T03:25:00,Dorm B - Floor 1,hvac,252.8
2026-01-17T03:25:00,GreenHouse,idle,187.4
2026-01-17T03:25:00,PeakBusters,idle,199.6
2026-01-17T03:25:00,SunChasers,idle,240.2
2026-01-17T03:25:00,VoltRiders,idle,226.2
2026-01-17T03:30:00,Alex,idle,196.2
2026-01-17T03:30:00,Dorm A - Floor 3,idle,226.9
2026-01-17T03:30:00,Dorm B - Floor 1,hvac,255.1
2026-01-17T03:30:00,GreenHouse,idle,205.1
2026-01-17T03:30:00,PeakBusters,idle,206.3
2026-01-17T03:30:00,SunChasers,idle,218.8
2026-01-17T03:30:00,VoltRiders,idle,214.2
2026-01-17T03:35:00,Alex,idle,228.5
2026-01-17T03:35:00,Dorm A - Floor 3,idle,217.5
2026-01-17T03:35:00,Dorm B - Floor 1,hvac,287.8
2026-01-17T03:35:00,GreenHouse,idle,187.4
2026-01-17T03:35:00,PeakBusters,idle,215.5
2026-01-17T03:35:00,SunChasers,idle,193.2
2026-01-17T03:35:00,VoltRiders,idle,190.2
2026-01-17T03:40:00,Alex,idle,234.6
2026-01-17T03:40:00,Dorm A - Floor 3,idle,238.0
2026-01-17T03:40:00,Dorm B - Floor 1,idle,240.2
2026-01-17T03:40:00,GreenHouse,idle,197.8
2026-01-17T03:40:00,PeakBusters,hvac,250.4
2026-01-17T03:40:00,SunChasers,idle,208.2
2026-01-17T03:40:00,VoltRiders,idle,200.7
2026-01-17T03:45:00,Alex,idle,200.2
2026-01-17T03:45:00,Dorm A - Floor 3,idle,215.3
2026-01-17T03:45:00,Dorm B - Floor 1,idle,233.7
2026-01-17T03:45:00,GreenHouse,idle,240.0
2026-01-17T03:45:00,PeakBusters,idle,245.8
2026-01-17T03:45:00,SunChasers,idle,230.3
2026-01-17T03:45:00,VoltRiders,idle,199.0
2026-01-17T03:50:00,Alex,idle,181.8
2026-01-17T03:50:00,Dorm A - Floor 3,hvac,272.0
2026-01-17T03:50:00,Dorm B - Floor 1,hvac,274.9
2026-01-17T03:50:00,GreenHouse,idle,204.4
2026-01-17T03:50:00,PeakBusters,hvac,266.6
2026-01-17T03:50:00,SunChasers,idle,238.2
2026-01-17T03:50:00,VoltRiders,idle,193.0
2026-01-17T03:55:00,Alex,idle,228.8
2026-01-17T03:55:00,Dorm A - Floor 3,idle,243.3
2026-01-17T03:55:00,Dorm B - Floor 1,hvac,253.4
2026-01-17T03:55:00,GreenHouse,idle,229.8
2026-01-17T03:55:00,PeakBusters,hvac,258.6
2026-01-17T03:55:00,SunChasers,idle,200.2
2026-01-17T03:55:00,VoltRiders,idle,214.2
2026-01-17T04:00:00,Alex,idle,176.5
2026-01-17T04:00:00,Dorm A - Floor 3,idle,247.1
2026-01-17T04:00:00,Dorm B - Floor 1,idle,215.6
2026-01-17T04:00:00,GreenHouse,idle,182.6
2026-01-17T04:00:00,PeakBusters,idle,245.7
2026-01-17T04:00:00,SunChasers,idle,244.3
2026-01-17T04:00:00,VoltRiders,idle,218.3
2026-01-17T04:05:00,Alex,idle,189.5
2026-01-17T04:05:00,Dorm A - Floor 3,hvac,265.6
2026-01-17T04:05:00,Dorm B - Floor 1,idle,197.9
2026-01-17T04:05:00,GreenHouse,idle,220.4
2026-01-17T04:05:00,PeakBusters,idle,197.3
2026-01-17T04:05:00,SunChasers,hvac,258.1
2026-01-17T04:05:00,VoltRiders,idle,206.4
2026-01-17T04:10:00,Alex,idle,202.0
2026-01-17T04:10:00,Dorm A - Floor 3,idle,219.5
2026-01-17T04:10:00,Dorm B - Floor 1,hvac,265.1
2026-01-17T04:10:00,GreenHouse,idle,192.4
2026-01-17T04:10:00,PeakBusters,hvac,255.3
2026-01-17T04:10:00,SunChasers,idle,212.6
2026-01-17T04:10:00,VoltRiders,idle,221.2
2026-01-17T04:15:00,Alex,idle,233.0
2026-01-17T04:15:00,Dorm A - Floor 3,idle,214.9
2026-01-17T04:15:00,Dorm B - Floor 1,idle,227.8
2026-01-17T04:15:00,GreenHouse,idle,240.2
2026-01-17T04:15:00,PeakBusters,idle,197.0
2026-01-17T04:15:00,SunChasers,hvac,252.4
2026-01-17T04:15:00,VoltRiders,idle,210.5
2026-01-17T04:20:00,Alex,idle,194.8
2026-01-17T04:20:00,Dorm A - Floor 3,hvac,278.7
2026-01-17T04:20:00,Dorm B - Floor 1,hvac,284.5
2026-01-17T04:20:00,GreenHouse,idle,208.4
2026-01-17T04:20:00,PeakBusters,idle,233.6
2026-01-17T04:20:00,SunChasers,idle,197.2
2026-01-17T04:20:00,VoltRiders,idle,249.2
2026-01-17T04:25:00,Alex,idle,197.4
2026-01-17T04:25:00,Dorm A - Floor 3,idle,193.6
2026-01-17T04:25:00,Dorm B - Floor 1,idle,223.7
2026-01-17T04:25:00,GreenHouse,idle,196.5
2026-01-17T04:25:00,PeakBusters,idle,241.0
2026-01-17T04:25:00,SunChasers,idle,244.6
2026-01-17T04:25:00,VoltRiders,idle,213.8
2026-01-17T04:30:00,Alex,idle,199.4
2026-01-17T04:30:00,Dorm A - Floor 3,hvac,271.0
2026-01-17T04:30:00,Dorm B - Floor 1,idle,223.0
2026-01-17T04:30:00,GreenHouse,idle,189.8
2026-01-17T04:30:00,PeakBusters,idle,195.7
2026-01-17T04:30:00,SunChasers,idle,198.2
2026-01-17T04:30:00,VoltRiders,idle,245.0
2026-01-17T04:35:00,Alex,idle,203.8
2026-01-17T04:35:00,Dorm A - Floor 3,hvac,276.8
2026-01-17T04:35:00,Dorm B - Floor 1,idle,218.6
2026-01-17T04:35:00,GreenHouse,idle,226.2
2026-01-17T04:35:00,PeakBusters,hvac,250.5
2026-01-17T04:35:00,SunChasers,idle,205.6
2026-01-17T04:35:00,VoltRiders,idle,235.4
2026-01-17T04:40:00,Alex,idle,226.4
2026-01-17T04:40:00,Dorm A - Floor 3,idle,210.8
2026-01-17T04:40:00,Dorm B - Floor 1,idle,232.7
2026-01-17T04:40:00,GreenHouse,idle,246.4
2026-01-17T04:40:00,PeakBusters,idle,223.2
2026-01-17T04:40:00,SunChasers,idle,223.1
2026-01-17T04:40:00,VoltRiders,idle,205.3
2026-01-17T04:45:00,Alex,idle,230.4
2026-01-17T04:45:00,Dorm A - Floor 3,hvac,268.3
2026-01-17T04:45:00,Dorm B - Floor 1,idle,228.4
2026-01-17T04:45:00,GreenHouse,idle,198.1
2026-01-17T04:45:00,PeakBusters,idle,200.1
2026-01-17T04:45:00,SunChasers,idle,236.6
2026-01-17T04:45:00,VoltRiders,idle,201.2
2026-01-17T04:50:00,Alex,idle,203.8
2026-01-17T04:50:00,Dorm A - Floor 3,hvac,274.9
2026-01-17T04:50:00,Dorm B - Floor 1,hvac,286.7
2026-01-17T04:50:00,GreenHouse,idle,180.3
2026-01-17T04:50:00,PeakBusters,idle,228.0
2026-01-17T04:50:00,SunChasers,idle,225.5
2026-01-17T04:50:00,VoltRiders,idle,216.8
2026-01-17T04:55:00,Alex,idle,222.9
2026-01-17T04:55:00,Dorm A - Floor 3,hvac,272.7
2026-01-17T04:55:00,Dorm B - Floor 1,idle,213.0
2026-01-17T04:55:00,GreenHouse,idle,204.4
2026-01-17T04:55:00,PeakBusters,idle,214.6
2026-01-17T04:55:00,SunChasers,idle,208.7
2026-01-17T04:55:00,VoltRiders,idle,217.4
2026-01-17T05:00:00,Alex,idle,226.1
2026-01-17T05:00:00,Dorm A - Floor 3,idle,227.7
2026-01-17T05:00:00,Dorm B - Floor 1,hvac,277.3
2026-01-17T05:00:00,GreenHouse,idle,194.0
2026-01-17T05:00:00,PeakBusters,hvac,265.0
2026-01-17T05:00:00,SunChasers,idle,207.0
2026-01-17T05:00:00,VoltRiders,idle,241.9
2026-01-17T05:05:00,Alex,idle,241.7
2026-01-17T05:05:00,Dorm A - Floor 3,idle,214.3
2026-01-17T05:05:00,Dorm B - Floor 1,idle,207.6
2026-01-17T05:05:00,GreenHouse,idle,224.5
2026-01-17T05:05:00,PeakBusters,hvac,257.4
2026-01-17T05:05:00,SunChasers,idle,228.8
2026-01-17T05:05:00,VoltRiders,idle,224.7
2026-01-17T05:10:00,Alex,idle,195.3
2026-01-17T05:10:00,Dorm A - Floor 3,hvac,251.5
2026-01-17T05:10:00,Dorm B - Floor 1,idle,223.8
2026-01-17T05:10:00,GreenHouse,idle,185.1
2026-01-17T05:10:00,PeakBusters,idle,216.4
2026-01-17T05:10:00,SunChasers,idle,207.3
2026-01-17T05:10:00,VoltRiders,idle,227.1
2026-01-17T05:15:00,Alex,idle,194.7
2026-01-17T05:15:00,Dorm A - Floor 3,idle,212.5
2026-01-17T05:15:00,Dorm B - Floor 1,idle,249.7
2026-01-17T05:15:00,GreenHouse,idle,177.3
2026-01-17T05:15:00,PeakBusters,idle,248.9
2026-01-17T05:15:00,SunChasers,idle,199.2
2026-01-17T05:15:00,VoltRiders,idle,226.4
2026-01-17T05:20:00,Alex,idle,195.2
2026-01-17T05:20:00,Dorm A - Floor 3,hvac,272.4
2026-01-17T05:20:00,Dorm B - Floor 1,idle,241.6
2026-01-17T05:20:00,GreenHouse,idle,202.1
2026-01-17T05:20:00,PeakBusters,idle,220.9
2026-01-17T05:20:00,SunChasers,idle,201.1
2026-01-17T05:20:00,VoltRiders,hvac,267.0
2026-01-17T05:25:00,Alex,idle,224.2
2026-01-17T05:25:00,Dorm A - Floor 3,hvac,264.1
2026-01-17T05:25:00,Dorm B - Floor 1,hvac,268.8
2026-01-17T05:25:00,GreenHouse,idle,189.0
2026-01-17T05:25:00,PeakBusters,idle,241.6
2026-01-17T05:25:00,SunChasers,hvac,256.5
2026-01-17T05:25:00,VoltRiders,idle,218.9
2026-01-17T05:30:00,Alex,idle,207.7
2026-01-17T05:30:00,Dorm A - Floor 3,idle,215.6
2026-01-17T05:30:00,Dorm B - Floor 1,hvac,274.5
2026-01-17T05:30:00,GreenHouse,idle,201.6
2026-01-17T05:30:00,PeakBusters,hvac,286.9
2026-01-17T05:30:00,SunChasers,idle,192.8
2026-01-17T05:30:00,VoltRiders,hvac,263.8
2026-01-17T05:35:00,Alex,idle,182.9
2026-01-17T05:35:00,Dorm A - Floor 3,idle,239.6
2026-01-17T05:35:00,Dorm B - Floor 1,hvac,257.7
2026-01-17T05:35:00,GreenHouse,idle,196.1
2026-01-17T05:35:00,PeakBusters,idle,221.2
2026-01-17T05:35:00,SunChasers,idle,247.3
2026-01-17T05:35:00,VoltRiders,idle,211.3
2026-01-17T05:40:00,Alex,idle,198.3
2026-01-17T05:40:00,Dorm A - Floor 3,idle,231.0
2026-01-17T05:40:00,Dorm B - Floor 1,idle,212.2
2026-01-17T05:40:00,GreenHouse,idle,238.3
2026-01-17T05:40:00,PeakBusters,idle,216.2
2026-01-17T05:40:00,SunChasers,idle,197.8
2026-01-17T05:40:00,VoltRiders,idle,220.2
2026-01-17T05:45:00,Alex,idle,215.0
2026-01-17T05:45:00,Dorm A - Floor 3,idle,227.0
2026-01-17T05:45:00,Dorm B - Floor 1,idle,245.0
2026-01-17T05:45:00,GreenHouse,idle,218.0
2026-01-17T05:45:00,PeakBusters,idle,218.6
2026-01-17T05:45:00,SunChasers,idle,223.8
2026-01-17T05:45:00,VoltRiders,idle,219.6
2026-01-17T05:50:00,Alex,idle,232.1
2026-01-17T05:50:00,Dorm A - Floor 3,idle,213.5
2026-01-17T05:50:00,Dorm B - Floor 1,idle,208.0
2026-01-17T05:50:00,GreenHouse,idle,198.4
2026-01-17T05:50:00,PeakBusters,idle,209.3
2026-01-17T05:50:00,SunChasers,idle,193.1
2026-01-17T05:50:00,VoltRiders,idle,212.8
2026-01-17T05:55:00,Alex,idle,231.3
